Step;name: no_q_coord - Train/train_Tot_reward;name: no_q_coord - Train/train_Tot_reward__MIN;name: no_q_coord - Train/train_Tot_reward__MAX;name: no_coord_w - Train/train_Tot_reward;name: no_coord_w - Train/train_Tot_reward__MIN;name: no_coord_w - Train/train_Tot_reward__MAX;name: inverse_mask - Train/train_Tot_reward;name: inverse_mask - Train/train_Tot_reward__MIN;name: inverse_mask - Train/train_Tot_reward__MAX;name: true_mask - Train/train_Tot_reward;name: true_mask - Train/train_Tot_reward__MIN;name: true_mask - Train/train_Tot_reward__MAX;name: eval - Train/train_Tot_reward;name: eval - Train/train_Tot_reward__MIN;name: eval - Train/train_Tot_reward__MAX
3420;;;;;;;;;;;;;"30,42";"30,42";"30,42"
3442;;;;;;;;;;28.919.999.999.999.900;28.919.999.999.999.900;28.919.999.999.999.900;;;
3456;;;;;;;;;;;;;14.419.999.999.999.900;"14,42";"14,42"
3463;;;;;;;;;;;;;"26,18";"26,18";"26,18"
3468;;;;;;;;;;;;;"32,46";"32,46";"32,46"
3471;;;;26.680.000.000.000.000;26.680.000.000.000.000;26.680.000.000.000.000;;;;;;;;;
3478;"19,32";"15,7";22.939.999.999.999.900;;;;"14,76";"14,76";"14,76";;;;;;
3483;;;;;;;;;;;;;23.259.999.999.999.900;23.259.999.999.999.900;23.259.999.999.999.900
3505;;;;;;;;;;9.559.999.999.999.990;9.559.999.999.999.990;9.559.999.999.999.990;;;
3508;;;;;;;;;;;;;30.659.999.999.999.900;30.659.999.999.999.900;30.659.999.999.999.900
3519;;;;;;;;;;;;;"34,02";"34,02";"34,02"
3527;;;;;;;;;;;;;"9,48";"9,48";"9,48"
3529;;;;;;;29.419.999.999.999.900;29.419.999.999.999.900;29.419.999.999.999.900;;;;;;
3530;;;;27.939.999.999.999.900;27.939.999.999.999.900;27.939.999.999.999.900;;;;;;;;;
3531;;;;;;;;;;;;;24.340.000.000.000.000;24.340.000.000.000.000;24.340.000.000.000.000
3541;14.879.999.999.999.900;7.779.999.999.999.990;"21,98";;;;;;;;;;;;
3549;;;;;;;;;;;;;31.860.000.000.000.000;"31,86";"31,86"
3557;;;;;;;;;;;;;33.040.000.000.000.000;33.040.000.000.000.000;33.040.000.000.000.000
3569;;;;;;;;;;"23,28";"23,28";"23,28";;;
3570;;;;;;;;;;;;;"32,62";"32,62";"32,62"
3590;;;;;;;;;;;;;"16,52";"16,52";"16,52"
3592;;;;;;;14.180.000.000.000.000;14.180.000.000.000.000;14.180.000.000.000.000;;;;;;
3593;;;;"22,54";"22,54";"22,54";;;;;;;;;
3604;"9,5";"6,22";12.780.000.000.000.000;;;;;;;;;;;;
3605;;;;;;;;;;"32,3";"32,3";"32,3";;;
3612;;;;;;;;;;;;;"22,18";"22,18";"22,18"
3620;;;;;;;;;;;;;"22,3";"22,3";"22,3"
3633;;;;;;;;;;;;;"21,74";"21,74";"21,74"
3637;;;;;;;31.180.000.000.000.000;31.180.000.000.000.000;31.180.000.000.000.000;;;;;;
3653;;;;;;;;;;;;;"6,98";"6,98";"6,98"
3657;;;;"25,22";"25,22";"25,22";;;;;;;;;
3663;;;;;;;;;;;;;"33,46";"33,46";"33,46"
3668;"22,47";"21,38";23.560.000.000.000.000;;;;;;;"21,3";"21,3";"21,3";;;
3676;;;;;;;;;;;;;"20,4";"20,4";"20,4"
3684;;;;;;;;;;;;;"23,4";"23,4";"23,4"
3699;;;;;;;;;;;;;"32,78";"32,78";"32,78"
3701;;;;;;;15.739.999.999.999.900;15.739.999.999.999.900;15.739.999.999.999.900;;;;;;
3713;;;;;;;;;;"29,6";"29,6";"29,6";;;
